iter	RMSE
0	4157.913986
1	3986.620127
2	3843.043714
3	3721.170379
4	3616.701334
5	3530.576813
6	3458.877954
7	3397.548851
8	3346.349306
9	3303.498595
10	3268.918416
11	3240.010579
12	3217.345917
13	3199.940478
14	3182.096057
15	3167.617272
16	3154.33119
17	3144.867341
18	3137.990298
19	3129.971569
20	3125.509239
21	3120.010089
22	3114.523576
23	3110.432097
24	3108.541698
25	3103.430862
26	3100.94633
27	3099.725328
28	3097.39144
29	3095.167136
30	3091.730724
31	3089.305503
32	3087.665929
33	3084.48864
34	3083.06244
35	3081.609108
36	3079.800114
37	3078.553848
38	3078.172443
39	3076.580235
40	3076.197939
41	3073.637563
42	3071.887964
43	3070.214336
44	3069.696507
45	3067.624503
46	3066.867331
47	3065.619625
48	3065.045696
49	3063.926684
50	3063.191415
51	3062.040471
52	3061.876582
53	3061.04123
54	3059.36629
55	3058.288633
56	3057.36804
57	3057.078127
58	3055.839434
59	3055.309791
60	3054.712491
61	3054.250483
62	3054.197867
63	3053.743075
64	3053.453721
65	3052.659801
66	3052.534792
67	3050.946191
68	3049.957766
69	3049.529804
70	3047.704413
71	3046.883892
72	3046.036364
73	3045.485005
74	3044.733558
75	3043.371097
76	3041.186802
77	3040.816639
78	3039.631226
79	3036.981255
80	3035.19575
81	3034.292151
82	3033.403077
83	3033.12298
84	3032.180991
85	3031.232535
86	3029.851227
87	3029.48932
88	3029.245336
89	3027.881788
90	3026.885923
91	3025.488301
92	3023.093235
93	3022.192984
94	3020.827008
95	3019.563855
96	3018.711697
97	3018.002948
98	3017.022713
99	3016.270616
