iter	Passed	Remaining
0	124	12315
1	134	6597
2	142	4610
3	152	3666
4	161	3061
5	168	2636
6	172	2286
7	179	2062
8	187	1898
9	198	1783
10	204	1656
11	215	1583
12	222	1486
13	224	1380
14	240	1361
15	250	1313
16	265	1296
17	272	1240
18	277	1184
19	286	1146
20	289	1088
21	297	1055
22	307	1027
23	315	999
24	318	956
25	326	928
26	336	908
27	340	874
28	351	861
29	365	851
30	373	831
31	382	813
32	390	792
33	397	771
34	403	749
35	411	731
36	418	713
37	440	718
38	447	700
39	454	681
40	460	663
41	471	651
42	482	640
43	489	622
44	496	606
45	503	590
46	512	577
47	518	561
48	524	546
49	531	531
50	541	520
51	550	508
52	553	490
53	561	478
54	571	467
55	581	456
56	589	444
57	596	432
58	604	420
59	612	408
60	621	397
61	629	385
62	632	371
63	635	357
64	642	346
65	648	334
66	654	322
67	662	311
68	669	300
69	676	290
70	681	278
71	686	267
72	693	256
73	698	245
74	704	234
75	709	224
76	715	213
77	721	203
78	727	193
79	733	183
80	745	174
81	750	164
82	757	155
83	761	144
84	765	135
85	770	125
86	775	115
87	780	106
88	782	96
89	787	87
90	794	78
91	799	69
92	807	60
93	812	51
94	817	43
95	824	34
96	829	25
97	833	17
98	843	8
99	850	0
